ven_id|name|lat|long|price_lev|rating|update
    14|Club House|37.76136|-122.24545|1|4.0|2023-02-15
    14|Town Tavern|37.76526|-122.24215|2|4.5|2023-02-15
    14|NIDO's BackYard|37.79265|-122.26790|2|3.5|2023-02-15
    14|Cato's Ale House|37.82505|-122.25467|2|4.0|2023-02-15
    14|First Edition|37.80817|-122.26896|2|4.0|2023-02-15
    14|Emporium Oakland|37.80773|-122.27021|2|3.5|2023-02-15
    14|Telegraph Beer Garden|37.81279|-122.26842|2|4.0|2023-02-15
    14|Aloha Club|37.77494|-122.22697|1|4.5|2023-02-15
    14|Viridian|37.81121|-122.26663|2|4.5|2023-02-15
    14|Otto's Coffee + Donuts + Beer|37.81397|-122.26533|2|4.0|2023-02-15
    14|Old Kan Beer|37.79933|-122.28764|2|4.5|2023-02-15
    14|Perle Wine Bar|37.82657|-122.20936|2|4.5|2023-02-15
    14|Rockridge Bar|37.71722|-122.21122|2|3.0|2023-02-15
    14|Lounge Chinatown|37.79969|-122.27177|2|4.5|2023-02-15
    14|Earharts|37.72818|-122.20203|2|3.0|2023-02-15
    14|Philomena|37.79217|-122.24283|2|4.0|2023-02-15
    14|2101 Club|37.80032|-122.21720|1|4.5|2023-02-15
    14|TODOS|37.81217|-122.26440|2|4.5|2023-02-15
  3706|Voodoo Cellar Boise|43.61586|-116.20129|2|4.5|2023-02-11
  3706|Bittercreek Alehouse|43.61659|-116.20238|2|4.5|2023-02-11
  3706|Taphouse|43.61541|-116.20279|2|4.0|2023-02-11
  3706|Prost! Boise|43.61681|-116.20212|2|4.0|2023-02-11
  3706|Hops & Bottles|43.61913|-116.21195|2|5.0|2023-02-11
  3706|The Handlebar Boise|43.62001|-116.21279|1|4.5|2023-02-11
  3706|Double Tap Pub|43.61315|-116.20637|2|4.0|2023-02-11
  3706|The Atlas Bar|43.61710|-116.20697|2|4.0|2023-02-11
  3706|The River Room|43.60778|-116.19453|2|4.5|2023-02-11
  3706|The Shed|43.60865|-116.21276|2|4.0|2023-02-11
  3706|The Gas Lantern Drinking Company|43.61118|-116.20631|2|4.0|2023-02-11
  3706|Matlack's Boise|43.61641|-116.20855|2|4.5|2023-02-11
  3706|Edge Brewing Pub On 10th|43.61799|-116.20517|2|4.0|2023-02-11
  3706|Sid's Garage|43.61686|-116.20620|2|4.5|2023-02-11
  3706|The Front Door Taphouse|43.61433|-116.20167|2|4.5|2023-02-11
  3706|Bar Gernika|43.61406|-116.20296|2|4.5|2023-02-11
  3706|10th Street Station|43.61688|-116.20558|1|4.0|2023-02-11
  3706|The Yardarm|43.62613|-116.23598|1|4.0|2023-02-11
  3706|The Nook Lounge|43.61729|-116.20354|1|4.0|2023-02-11
